id,utterance,context_last,utt_sentiment,context_sentiment,irony_gap,show
1_4145,A lot of people are working on that research. So what is all this?,What I'm doing here is trying to determine when I'm going to die.,0.0,-0.7717,0.7717,BBT
1_4743,"Oh, and the science dudes want to talk science with you. What do you want to talk about-- rocks, dinosaurs, our friend the beaver?","Ah, not yet. I want to talk science with the science dudes.",0.5859,0.8145,-0.22860000000000003,BBT
1_4760,"In the bedrooms of ten-year- old girls, where they belong.",Where do they keep the Archies?,0.0,0.836,-0.836,BBT
1_4789,"I don't know. Somebody bigger and... Yeah, sure. Why not you?",Who else would it be?,0.5423,-0.3527,0.895,BBT
1_4967,We might be starting to zero in on your problem.,"Thank you, but ""cute"" is for bunnies. I want to be something with sex appeal, like... like a labradoodle.
Labradoodle?",-0.4019,0.9725,-1.3744,BBT
1_4995,"Hey, you taught me something. Who would have thought it?","Okay, it's not a movie. It's improv. So no one calls ""action.""",0.0,-0.2444,0.2444,BBT
1_5058,"An entire dinner to talk about your research? Where you going, the drive-thru at Jack in the Box?",She wants to have dinner and talk about my research.,0.0,0.875,-0.875,BBT
1_5134,"Oh, yeah, yeah. It's real great. Today I drove to Van Nuys for an audition I thought was going to be for a cat food commercial. Turned out to be porn.","So, Penny, Leonard tells me you're an actress. That must be pretty exciting.",0.8176,0.9034,-0.08579999999999999,BBT
1_5156,"That's got to be fun for you, huh? Watching Hofstadter suck the saliva out of your sister's mouth?","Hey, you.",0.1926,0.3313,-0.1387,BBT
1_5166,"Yeah, it's a great time to be alive, isn't it?","Fine. From this angle, I can see up your nose.",0.836,0.9161,-0.08010000000000006,BBT
1_5211,"Saying that while holding a snowflake is a bit heavy-handed, don't you think?",Leonard's really one of a kind.,0.0,0.8878,-0.8878,BBT
1_5496,"Okay, Amy, you're being silly. I'm not concerned about who hangs out with who. And I certainly don't have a problem with Leonard's new girlfriend who wears way too much makeup. Ooh, these are cute. Of course if I buy them, I'll have to rent my womb out to a gay couple.",Your trusting nature coupled with your teeny-tiny body. You wouldn't last a minute on the Serengeti.,0.8252,-0.8818,1.707,BBT
1_5571,"Yes, I'd like a seven-day course of penicillin, some, uh, syrup of ipecac-- to induce vomiting-- and a mint.",You guys ready to order?,0.6369,0.6749,-0.038000000000000034,BBT
1_5572,"He drank from Leonard's glass. ""He drank from Leonard's glass""-- the words they'll be carving into my tombstone.",I don't understand.,0.0,0.8845,-0.8845,BBT
1_5580,"Right, right, whereas Jewish mothers take a casual, la-di-da approach to their sons.","Uh... that's different.
First of all, we're not engaged; and second, Indian parents are very protective of their children.",0.2023,-0.3089,0.5112,BBT
1_5617,is an event that's like a heart attack.,A heart-attack-like event,0.5574,0.8418,-0.2844,BBT
1_5627,"Your girlfriend and your ex-girlfriend are hanging out together? Oh, yeah, that can only be good for you.",That's nice that they're getting along.,0.6249,0.5262,0.09870000000000001,BBT
1_5679,"I'd like to respond to that sarcastically: Yes, I relish the thought of a stranger covering my body with oil and rubbing it.",Have you considered massage?,0.4767,0.6553,-0.17859999999999998,BBT
1_5699,"Congratulations and welcome temporarily aboard. Here's your I.D. card, your key and your lapel pin. Which Leonard was too cool to wear.","Well, that seems fair.",0.8519,0.8957,-0.04380000000000006,BBT
1_5758,"Oh, I could so see you being the face of hemorrhoids.","The closest I came was last month, I got a callback for a hemorrhoid commercial.",0.0,0.3612,-0.3612,BBT
1_5880,"When you're done copping a feel, that goes on my wrist.","When you're done copping a feel, that goes on my wrist.",0.0,0.2732,-0.2732,BBT
1_5964,Smart. Whisper so the deaf chick can't hear you.,I can't believe you're engaged to my friend.,0.4019,0.892,-0.49010000000000004,BBT
1_6020,You just got off the list. Would you like back on it? This'll just take a moment. It's on a five and a quarter inch floppy.,"Oh, say no, say no, say no, say no.",0.3612,-0.7278,1.089,BBT
1_6032,"You see betrayal in others, but not yourself.","I hate to say it, but she did kind of betray you.",-0.34,-0.7436,0.4036,BBT
1_6065,"Frankly, Mom, I'm encouraged to see how advanced your group has become-- willing to sail out into the ocean without fear of falling off the edge.","You write your sins on a clay pigeon, they fire 'em up in the air, and you pulverize them with a 12-gauge shotgun full of our Lord's forgiveness.",0.763,0.4404,0.3226,BBT
1_6134,"No, I'm just allergic to people who get Nobel Prizes for no good reason.",Are you getting sick?,-0.1546,-0.7269,0.5723,BBT
1_6165,"Yes, there's nothing quite like the slightly widened eyes of mildly startled.",You should've seen your face.,-0.0841,0.8126,-0.8966999999999999,BBT
1_6188,"Oh, my God, that's where I know you from.","Okay, we used to go out, right?",0.2732,0.8253,-0.5521,BBT
1_6221,"Well, if you don't mind looking like an orange traffic cone, great.","So, Bernadette, how goes the hunt for bridesmaid dresses?",0.6237,0.0,0.6237,BBT
1_6355,"said horrible things about each other in public... all in all, a pretty magical night.","Okay. So... we went out, saw a movie, met some nice people,",-0.0772,0.5719,-0.6491,BBT
1_6370,"Oh, of course he is. She's very interesting. Did you know, when she was 14, she severed the webbing between her own toes?",Stuart's kind of interested in Amy.,0.1263,0.8687,-0.7424000000000001,BBT
1_6426,"You know, the holidays are just around the corner. Maybe he wants to see if he can lodge the other testicle up there.",I don't know.,0.3818,0.4922,-0.11040000000000005,BBT
1_6427,Hmm. That's too bad. We could have spent New Year's Eve waiting for the ball to drop.,I told you. That was a different guy.,-0.6808,0.7514,-1.4322,BBT
1_6428,Sure. You want to see what all the scientists are wearing this year.,Nobel Prize acceptance ceremony streaming live from Stockholm.,0.3818,0.743,-0.3612,BBT
1_6472,You'd think a winner could make a decent cup of cocoa.,You're the winner.,0.5859,0.8107,-0.2248,BBT
1_6504,"Oh, I see why you're confused. No, her news sounded important, but what you're forgetting is, it was an achievement in the field of biology. That's all about yucky, squishy things.","Okay, Amy just told you some exciting news, and you acted like it was no big deal.",-0.6059,0.6705,-1.2764,BBT
1_6648,You mean for a person whose neck massages feel like an eagle is trying to carry you to its nest?,"Okay, you're kind of really great.",0.3612,0.9402,-0.579,BBT
1_6683,"Yeah, terrific. The other astronauts would love to go hurtling through space with a guy named ""Crash.""","Okay, um... how about ""Crash""? 
Howard ""Crash"" Wolowitz.",0.6597,-0.6515,1.3112,BBT
1_6769,"Hope your hands are steady. It's the width of a single hair. But this is just biology, so I'm sure it's no problem for a genius like you.","You're getting warmer-- it is, indeed, in the brain.",0.8874,-0.046,0.9334,BBT
1_7047,"Also instead of just living in your mother's house, you could actually live inside her body.",The first of my people to dunk a basketball.,0.0,-0.4606,0.4606,BBT
1_7089,"How about you? Did you have a fun night? Yeah, we, uh, made gift bags, had wine, and then went online and saw this.",That's nice.,0.8299,0.9627,-0.13280000000000003,BBT
1_7281,"Darn. If you weren't busy, I'd ask you to join us.","W-Which is cool.
I eat alone, I sleep alone, I cry alone, so...
Cool.",0.296,-0.5983,0.8943000000000001,BBT
1_7357,I'm starting to get a sense of it.,"Oh, you have no idea how annoying this is.",0.0,-0.5994,0.5994,BBT
1_7395,"Well, if that's all it takes, it's a good thing you don't have a dog.",He looked at me like this.,0.6124,-0.128,0.7404000000000001,BBT
1_7402,I didn't know they gave Nobel prizes for making boom-boom in the potty.,perhaps I've already hit upon the idea that will win me my Nobel prize.,0.4588,0.9818,-0.523,BBT
1_7575,"You're right, the party's fantastic. Please, tell me more. I haven't heard enough about it all week because hearing about that never gets old!",Stuart wanted Kraft Draculoni and cheese.,0.7345,0.8602,-0.12569999999999992,BBT
1_7722,Exactly what it was half an hour ago. It's like you're not even trying to get better.,"(thermometer beeps) 102.2.
(coughs)",0.6597,0.0,0.6597,BBT
1_7953,Why don't you ask Scotty to beam you up?,"Can I use your phone? 
Our car got stolen.",0.0,-0.3094,0.3094,BBT
1_8045,"Dumped her? What, did he use a forklift?",My mom's been kind of an emotional wreck since that dentist she was dating dumped her.,-0.4696,0.0,-0.4696,BBT
1_8052,Like Burt and Ernie. You guys even teach me stuff about words and numbers.,"Yeah, but you two make such a cute couple.",0.3612,0.5998,-0.23859999999999998,BBT
1_8136,"Yeah, I'm really looking forward to it. In fact, there's no place I would rather be than here.",It's nice that all the people who are lonely on Valentine's Day can come here tonight and be together.,0.0,0.0772,-0.0772,BBT
1_8407,"Oh, sure, what a wonderful idea. And after that, I'll make up my own rules of oral hygiene. You know, instead of flossing, I'll rub pudding on my gums. I'm going to get the number of the SyFy Channel and give them what for.","Well, why don't you make up your own ending?",0.743,-0.6662,1.4092,BBT
1_8452,I think I'm gonna go. Thank you for the burrito and the pork rinds and the 20-minute lecture on why monster trucks are better than regular trucks.,I don't know. Maybe it's all those steroids I've been taking.,0.6597,0.264,0.39569999999999994,BBT
1_8717,Because you're in the right lane behind a bus and you won't go around it? I'm sure she finds it charming.,Do you think Penny's mad at me?,0.7269,-0.4939,1.2208,BBT
1_8746,"I enjoyed it. When you told me I was going to be ""losing my virginity,"" I didn't think you meant showing me <i>Raiders of the Lost Ark</i> for the first time.","""Good""?",-0.1531,0.7461,-0.8992,BBT
1_8749,It was very entertaining... despite the glaring story problem.,"Anyway, thank you for watching it.
It's one of my all-time favorites.",0.1263,0.5719,-0.4456,BBT
1_8827,How do you not tear off his clothes and take him right here on this table?,"Oh, no, I got bored with that.
I'm just browsing cuticle scissors on Amazon.",0.0,-0.4939,0.4939,BBT
1_9087,"Why? Because I got an ugly, itchy sweater, and my brother got a car? No, I was her favorite.","Aw, did she hate you?",-0.4137,-0.6369,0.2232,BBT
1_9971,I was gonna say we pick up a cake or a pie. But an insult to her faith is always thoughtful.,"Despite what her Bible says, recent archeological studies indicate that although camels are referenced in the Old Testament, they didn't exist in the Middle East until hundreds of years later.",0.3919,0.4404,-0.04849999999999999,BBT
1_9972,"Ooh, I'm gonna check the fridge, and see if there are any clues inside a beer.","I can't tell you that.
But perhaps the killer dropped a fun and imaginative clue somewhere in the apartment.",0.0,-0.3612,0.3612,BBT
1_9993,"Well, my beer isn't flat and my rack's not saggy. So far, the future's great.","Hey, you guys just time-traveled.
Stop looking so bored.",0.7351,-0.024,0.7591,BBT
1_10462,"You know, if you're really serious about that, I hear there are some exciting opportunities in home care for the old and fat.","It's an outrage.
Honestly, I'm tempted to leave the university.",0.813,-0.7044,1.5173999999999999,BBT
1_10495,"And if it turns out you don't... - you and I could live together. - You and... Oh, sure.",I don't know. Perhaps.,0.3182,-0.7887,1.1069,BBT
1_10496,"- You and... Oh, sure. And while we're at it, why don't we get engaged, too? Why don't we get a little house, start a family? Enjoy our sunset years together? Do you hear yourself, woman?!",And if it turns out you don't...,0.6698,-0.795,1.4647999999999999,BBT
1_10748,"There they go, fighting again. You'd never hear her talk that way to Sauvignon Blanc.",Relax.,-0.3612,0.34,-0.7012,BBT
1_10829,"On the bright side, that Oxford study was right. One friend down. I wonder who you're going to lose next.",Great.,0.5267,0.7276,-0.20090000000000008,BBT
1_10890,"Boy, when you met Bernadette, the field of robotics really took a hit.","There's just some things you don't do with your robot girlfriend.
Boy, when you met Bernadette,",0.0,-0.3182,0.3182,BBT
1_11006,Maybe it's a good thing we came here. It's like a lesson in what not to do.,I'll be right back. I'm gonna go check on him.,0.6597,0.9034,-0.24370000000000003,BBT
1_11021,"Same as all of us, getting out of a car without underwear.",What would a one-celled organism have to be embarrassed about?,0.0,-0.6662,0.6662,BBT
1_11055,"Ah, that's a good question. Apparently someone was being awfully flirty while not wearing their engagement ring, causing another someone to show up here thinking the first someone might be available.",Really? Why?,0.3211,0.8466,-0.5255000000000001,BBT
1_11098,"Wow, you still have it? I just assumed it was balled up in the corner of a barn somewhere.","That, believe it or not, is my prom dress.",0.5859,0.6747,-0.08879999999999999,BBT
1_11177,I'm listening to you snore. I'm wondering how I'll ever sleep without it.,"Okay, why?",0.0,0.2263,-0.2263,BBT
1_11224,And here I am in the trap. You just keep talking. I'm gonna chew my leg off.,So there<i> are</i> things you don't like.,-0.3182,-0.5867,0.2685,BBT
1_11232,"And I love that I work and do all the cleaning, and you're okay with that.",Uh-huh.,0.7269,0.9571,-0.23019999999999996,BBT
1_11242,"I love that you take pride in your looks, even when I have to pee in the morning, and you're in there spending an hour on your hair.","Amy, you're a neuroscientist.
Crack his skull open, spray some Raid in there.",0.765,0.7196,0.045399999999999996,BBT
1_11243,I love that you're too good to pee in the kitchen sink.,"I love that you take pride in your looks, even when I have to pee in the morning, and you're in there spending an hour on your hair.",0.7964,0.8316,-0.03520000000000001,BBT
1_11322,"You know what? That was almost on topic. I'm gonna say, ""Good job, Sheldon.""","You know, speaking of attorneys, if I ever needed a lawyer, I would not hire She-Hulk.",0.4404,-0.5096,0.9500000000000001,BBT
1_11378,Are you sure a dummy like me can handle something as complicated as a blanket?,"Raj, you hold open the curtain so he can fly out.",0.5859,-0.4404,1.0263,BBT
1_11439,"No, you're right, we should do what you do. Have our mom send us pants from the Walmart in Houston.","You know, I don't understand why women insist on making a big production out of buying clothes.",0.0,0.7748,-0.7748,BBT
1_11697,The answer's in this puzzle box. Let's see if you can open it.,How can I make this up to you?,0.0,0.9159,-0.9159,BBT
1_11699,"No, Stuart picked out those throw pillows all on his own.",You helped him?!,0.0,-0.4464,0.4464,BBT
1_11773,This is why I've been saying we should keep champagne on ice.,We're getting a turtle!,0.296,0.3595,-0.0635,BBT
1_11885,"Yeah, turns out half a dozen menorahs really sets a mood.","Wow, it looks really pretty in here.",0.296,0.8832,-0.5871999999999999,BBT
1_11901,"Yeah, good for you, Leonard. That's a lovely little notion. Kind of like, I wish I could talk to my uncle in Chicago. Yeah, now stand back while I invent the telephone. Hello? Oh, hold on. Leonard, it's your uncle. He says you just got burned.","Oh, that's fun.",0.9326,0.828,0.10460000000000003,BBT
1_11913,It's why my people wandered the desert for 40 years. Took that long to walk it off.,I don't think I've eaten that much in my entire life.,0.0,0.0,0.0,BBT
1_11924,"All right, Amy's in charge of pricing and being 75.",Can you believe I got these pantyhose for a nickel?,0.0,0.4696,-0.4696,BBT
1_12202,"No need to. As soon as she flies into California airspace, I'll feel a disturbance in the Force.",Don't you want to know for sure?,-0.5859,0.3481,-0.9339999999999999,BBT
2_223,"I guess he wants to do a little dance, you know, make a little love. Well pretty much get down to that.",Oh really? What does he want with her?,0.8255,0.212,0.6135,FRIENDS
2_370,You have to stop the Q-Tip when there is resistance,"My family's been going to him forever. He did my first suit when I was 15. No wait 16. Excuse me, 15 ...  Alright when was 1990?",-0.296,0.0258,-0.3218,FRIENDS
2_556,"Joey if I go first, I want to be looking for my keys","When their pets pass on, they want them sort of laid out like they are sleeping. But, occassionally theres a person who wants them in a pose like chasing their tail or uh, jumping to catch a frizbee.",0.0772,0.631,-0.5538,FRIENDS
2_484,Yes yes it is! In Prison!!,"That's how they do pants. First they go up they move it over, then they go up the other side and move it back, then they do the rear. What? Ross will you tell them? Isn't that how a tailor measures ?",0.4545,0.3109,0.1436,FRIENDS
2_498,"Uh, so how many cameras are actually on you.","Shut up, the camera adds 10 pounds.",0.0,0.0,0.0,FRIENDS
2_494,But younger than some buildings!,"I know Richard's really nice and everything, it's just that we don't know him really well you know, plus he is old  ...  er than some people.",0.0,0.669,-0.669,FRIENDS
2_279,Sounds like she has got the whole package!,"Great. It was great. She is , uh, she is great, great looking, great personality, she is greatness",0.4199,0.9702,-0.5503,FRIENDS
2_377,Yeah either that or gloria estefan was right eventually the rhythm is going to get you,I guess he must have gotten the part in the play.,0.296,0.34,-0.04400000000000004,FRIENDS
2_464,"Oh, uh, no thanks. I just had an M&M.","Hey, you guys the water is great. You should really go in!",-0.3412,0.6588,-1.0,FRIENDS
2_408,"Okay, but if you are not coming back soon, there is pretty much nothing I can do about it","Knowing you are here, waiting for me, it is kind of exciting isn't it?",0.6956,0.6378,0.05779999999999996,FRIENDS
2_598,"Our balcony? Seriously? That's so funny because I told Monica we should put lights on our balcony. - And she said - ""No no, its too cold, nobody will go out there.""  - I said ""Maybe if we put some lights out there they will"".",After the party I saw Rachel kissing that jerk from her office out on your balcony.,0.4316,0.6124,-0.18080000000000007,FRIENDS
2_73,"Oh my god, you almost gave me a heart attack!","Okay, I am officially unpacked. Thanks for helping me man. Joey?",0.5411,0.7184,-0.1773,FRIENDS
2_374,Janice? Janice?,Will you get me a white zinfandel and glass of red for Janice.,0.0,0.0,0.0,FRIENDS
2_297,"I am sorry, it was a one time thing. I was very drunk and it was someone else's subconscious",I can't belive you two had sex in her dream.,-0.4576,0.4404,-0.898,FRIENDS
2_286,"And sometimes I would want you to steal third, and I'll go like this.","And sometimes I may be away longer, like this. But I'll still always come back, like this.",-0.1027,0.6124,-0.7151000000000001,FRIENDS
2_509,Crazy bitch!,Well the tough thing is she really wants to have sex with me.,-0.7574,0.1531,-0.9105,FRIENDS
2_508,"Yes, the doctor's say if they remove it, he will die!",There is a little child inside this man.,-0.3595,0.3164,-0.6759,FRIENDS
2_227,You sure he is going to be able to crack that code?,"Well, despite the yummy bagels and palpable tension, I have got pants that need to be altered.",0.3182,-0.4545,0.7726999999999999,FRIENDS
2_226,"These people find out that a spelling game is going over there, there will be nobody left at our party.",Could guys please try to keep It down? We are trying to start a tournament.,0.4019,0.3182,0.0837,FRIENDS
2_478,"Oh, wait a minute, I have no one.","It was ridiculous, these guys were bullies, actual bullies. We are grown ups, this kind of stuff isn't supposed to happen anymore.",-0.296,-0.25,-0.045999999999999985,FRIENDS
2_372,Actually I yesterday I was smoking again. Today I am smoking still.,Chandler?,0.0,-0.825,0.825,FRIENDS
2_241,"Oh I do. Oh no, wait a minute, I took it out of my shirt when I put it on this morning.","Relax ok? I can get this open, anybody got a coat hangar?",0.0,0.2582,-0.2582,FRIENDS
2_109,"I thought if I littered, that crying Indian might come by and save us.","Chandler, what are you doing? There is a trash can right there!",0.0258,0.0,0.0258,FRIENDS
2_389,Huh! Whats dufus speled backwards?,ThatÕs Help spelled backwards so that helicopters can read it from the air.,0.0,0.5574,-0.5574,FRIENDS
2_449,"Oh no, now its not gonna make any sense","He is saving your butt. Unless ofcourse I am stepping on some toes here, in which case I can just mosey on. I have plenty of people to help in the interstate.",0.0,0.4019,-0.4019,FRIENDS
2_50,"Nope, that patch is no good.",Well I am really sick of your smoking. So I brought something that is going to help you quit.,-0.3412,0.2275,-0.5687,FRIENDS
2_84,"If that doesn't keep kids in school, what will?",Yes she was my best teacher.,0.0,0.9186,-0.9186,FRIENDS
2_416,Were you so late because you were burying this woman?,Ok it was just me and her at the back of the train and I sat at the door so she had to pass by me if she like to switch cars. She was totally at my mercy.,0.0,0.7553,-0.7553,FRIENDS
2_124,I am so confused as to what we have been doing so far.,Wanna bet?,-0.4572,-0.5636,0.1064,FRIENDS
2_206,A tshirt that says - I don't belong here.,"Hey guys, what should I wear to a Nick's game?",0.0,0.0,0.0,FRIENDS
2_204,"Oh Oh, I am convinced!",Just do it!,0.4574,0.6892,-0.23180000000000006,FRIENDS
2_622,"Pheebs, you may know this, you know strange things. What is the boiling point of brain?","Maybe I should get another pair. Oh, you know they had some with uh, with  fringe all down the sides.",-0.2023,0.0,-0.2023,FRIENDS
2_583,And the bunny got away!,Sorry,0.0,-0.4765,0.4765,FRIENDS
2_456,And you are gonna make them all disappear.,"Oh , yeah. There's this play right. And I am up for the part of this real cool like suave, international guy. A real close horse. So I figured everyone in the audition is gonna be wearing this kind of, you now, ultra hip, high fashion stuff.",-0.2263,0.9609,-1.1872,FRIENDS
2_461,"Wow you look just like your son, Mrs. Tribbiani",[Laughs],0.743,0.4939,0.2491,FRIENDS
