nid,episode,text,sarcasm,audio_path
51_93,51,"Which is great because we do positions up. He says Superman, I've come to kill you. Is this a bad time? And it's like, it literally is rescheduled. I'm, I'm open to that. So like everyone else is evacuating everyone from the island while Superman's getting his ass kicked in an active volcano. And they're like, Superman, do you need any help in there? And he's like, no, evacuate the island. I'm, I'll handle this. Um.",1,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_93.mp3
51_96,51,"Just because, like, you know, the mystery of what is the point of Superman feels like a question that shouldn't be this complicated.",1,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_96.mp3
51_102,51,"It's like, even if it's good satire, it's like, uh, I don't need this.",1,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_102.mp3
51_106,51,"It's like you read the fucking Little Match Girl and you're like, Oh, at least she still hoped for a better world in the end. And it's like, I don't care. She died and it was sad. This, this story didn't reward her hopeful endeavors, but some stories do. And this is kind of a separation between like a grimdark narrative and a grim, like a really dark and grim narrative that still recognizes that there was a world beyond that.",0,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_106.mp3
51_114,51,"Would we like to, uh, as we jump into the sort of announcements portion of the podcast, we don't really have anything to announce right this second.",0,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_114.mp3
51_118,51,stuff that I didn't experience from the perspective of someone who's exclusively validating that.,0,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_118.mp3
51_119,51,"And, uh, I just think that his videos in general deserve more. I mean, every single one of them goes like turbo viral at this point. So I'm not sure he really needs the boost, but, uh, I think he's got like, uh, like a milestone if he hits like a million subs or something like that. So just, yeah, you know, show him some love. Yeah.",0,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_119.mp3
51_120,51,"Very fun. So I think with that we can, uh, skedaddle over to the Q&A portion of the podcast.",0,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_120.mp3
51_122,51,"Uh, this question comes from Shark Flynn. To all, with the rumors of Joker 2 being a musical, what non-musical movie would you like to see get a musical sequel? Oh boy. Is that true?",1,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_122.mp3
51_123,51,"Apparently, yeah. Lady Gaga was cast as Harley Quinn. It was like a whole thing.",1,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_123.mp3
51_124,51,"But she's been doing, isn't she in House of Gucci? Is that a musical?",1,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_124.mp3
51_125,51,Lady Gaga is apparently a spectacular actress. That doesn't surprise me.,0,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_125.mp3
51_128,51,movie that is not a musical would benefit from being a musical.,0,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_128.mp3
51_129,51,There is a song the good folks sing. That's a musical. So I feel like it wouldn't be too hard to make a Batman sequel that was a musical.,0,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_129.mp3
51_136,51,"It's like, what happens if we just played all of our songs backwards?",1,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_136.mp3
51_143,51,"A regency. Yeah, yeah, yeah. A regency, yeah, like a modern regency. Like a regency romance, but like, set in a different time period.",0,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_143.mp3
51_148,51,"That's like shit you do in a D and D game. It's fun and campy. I don't know. I kind of like it. Um, that show plays pretty fast and loose with, you know, historical accuracy anyway. So what's a little bit more.",0,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_148.mp3
51_156,51,"It's like, I've been secretly donating my salary to a local pet shelter. They don't know I did it.",0,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_156.mp3
51_157,51,"And you can tell it's cuz an I want song. They want to donate their money. That's the secret. Right. Rather than an I am song. Yeah. I, I.",0,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_157.mp3
51_159,51,"Yeah, I think any murder mystery series is primed for a musical. I feel like it's a genre.",0,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_159.mp3
51_164,51,"Some, someone's got their little red and blue plushie pins. What, what power-ups are they getting? What boons in their video game? This is a good question, because we've answered something.",1,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_164.mp3
51_170,51,"You know exactly what information you were looking for in that book, and it's just in your head immediately. You can just osmos knowledge.",1,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_170.mp3
51_172,51,"But in my head, all I can imagine is, like, you brush your elbow against, like, a fiction book you were reading, and you're like, the, the entire ending page flashed in your mind, and you're like, oh, fuck!",0,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_172.mp3
51_173,51,"Or just like someone goes to a library, just like putting their hands on all the books, like I'm learning.",1,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_173.mp3
51_177,51,Let's you jump high. Anyone who plays without items doesn't understand what Smash Bros is all about. All right.,1,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_177.mp3
51_184,51,"I can still do a kip up. It just hurts my neck the next day. Uh, but, uh, yes.",0,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_184.mp3
51_185,51,"And then, like, the implications of the book thing is, like, if someone really wants to just bother you, they can, like, throw some, like, trashy tabloid magazine or smutty book at you, and they're like, ah, ah, gross.",1,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_185.mp3
51_200,51,Exactly.,0,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_200.mp3
51_214,51,"I wonder why they might have wanted to throw more parties. Uh, and it's like, all right, I'm not going to say, like, categorically, this happened specifically because of that, but I can kind of be like, I think that all the context and audience needs to understand the general gist of, like,",0,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_214.mp3
51_215,51,What got Dionysus over the hump to being this sort of like perpetually drunk party boy?,0,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_215.mp3
51_216,51,"All I need to say is, it's Rome, baby. They were doing that stuff on the ranks.",1,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_216.mp3
51_218,51,"Yeah, we did it. Yeah. Let's get crunk. Yeah, I also.",0,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_218.mp3
51_221,51,"For six years, that was all, and they, they had a lot to say about it, but like, if you pick something suitably niche, you can spend six years working on that.",0,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_221.mp3
51_227,51,"Good stuff. Research is a lot of fun, but yeah, very easy to get off the rails. Uh, this next question comes from L to Blue. What are some historical figures that knew how to party?",0,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_227.mp3
51_241,51,"Yeah. Um, Marquis de Sade went, went, went pretty hard.",1,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_241.mp3
51_242,51,"The Roman emperors knew how to party, that's for sure. They, they knew how to drain a treasury on, on one big night. Also, like, if you watch any of Max Miller Tasting History's videos on, like,",1,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_242.mp3
51_243,51,"medieval feasts, like, the amount of money that went into, like, any given Tuesday where they're feeding, like, Knights of the Realm, table for 500, with like, 17 course meals, like.",1,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_243.mp3
51_246,51,"We're prepping for the feast, but my lord has provided us far insufficient quantities of pheasants, and he's like, alright, fuck off, let's get this gun.",1,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_246.mp3
51_248,51,"Yeah, basically, any medieval court, and then any Victorian person. Perfect. And then also, like, the whole, like, Renaissance European aristocracy. Yeah.",0,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_248.mp3
51_249,51,So those are where you should go back in time if you know you're looking to party.,1,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_249.mp3
51_251,51,"Any advice on how to make the big day go as smoothly as possible? Perhaps any gift recommendations for the happy couple? Blue, please don't say swords. This couple is not fit for war yet. Love the channel, love the pod, and hope you have a good day. So, uh, we were, we were grooms mates.",0,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_251.mp3
51_252,51,"Yeah, not quite the same.",0,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_252.mp3
51_260,51,"as a, uh, as an ally to the happy couple. What this means is that it is your duty to stand stalwart and true and prepare for whatever fates make inspire against them on this, their wedding day.",1,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_260.mp3
51_261,51,"Yeah, yeah.",0,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_261.mp3
51_271,51,"Yes, I guess don't act.",1,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_271.mp3
51_285,51,"Yes, mm-hm.",0,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_285.mp3
51_288,51,I have questions about this. Yeah. I've heard Winx Club name dropped and I saw stuff about the live action remake nobody liked. What are the rules of this world?,0,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_288.mp3
51_296,51,"For the sake of remaining consistent, I'll go with the answer I gave on the Tumblr ask for the specific, like, the gimmick, the thing, which would be sound because I am of the opinion that if you like clash fists or weapons together, it should produce a visible shockwave and it's upsetting that it doesn't. So that would be the one thing I adjust.",0,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_296.mp3
51_299,51,"The red one in Wings Club is also the music and sound fairy, so thematically it's all coming together. Yeah, we're already paralleling.",0,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_299.mp3
51_310,51,"Wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait, wait.",0,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_310.mp3
51_311,51,"Like, you know, red's got sound, blue. But we would have to be called lights, camera, action, and I can do the action. Yeah, lights, camera, action.",1,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_311.mp3
51_316,51,"Yeah. Uh, awesome. Well, that is all the time we have on the podcast today. Red, are you ready to do the outro?",0,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_316.mp3
51_317,51,I'm always ready. That's why they call me action.,1,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_317.mp3
51_320,51,And this has been an Overly Sarcastic Podcast!,0,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_320.mp3
51_322,51,"We'll be back on September 21st with another thrilling installment, but if you missed us before then, be sure to check out Overly Sarcastic Productions on YouTube.",0,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-51/ospod-episode-51_322.mp3
52_3,52,I thought it was a burn on the fact that I actually can't make croissants as admitted earlier.,1,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-52/ospod-episode-52_3.mp3
52_8,52,"Uh, what a good cat. I'm distracted now. I'm looking at my adorable cat. Uh, we, we're, we're gonna go with not only you, not only Indigo, but also basically like the entire green and",0,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-52/ospod-episode-52_8.mp3
52_11,52,"Uh, Cleo drank from my water glass, so. Oh no! So I don't feel comfortable being like, yeah, let's down the hatch, so. But I'm good. I just needed to get that out of my system so I can talk properly. Let's go.",0,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-52/ospod-episode-52_11.mp3
52_12,52,"So, also, you know, we're gonna dress up in ridiculous costumes and, and walk around and have fun and, and ogle swords and I, I told, um, Noir to bully me into buying an ocarina, so that'll be a good time.",0,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-52/ospod-episode-52_12.mp3
52_15,52,"But these are black, these are black, so people probably won't notice. Yeah.",1,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-52/ospod-episode-52_15.mp3
52_18,52,that was quite,0,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-52/ospod-episode-52_18.mp3
52_26,52,"So that was a lot of fun. And I, I honestly, I'd sort of forgotten that the pages as I finished them would go up several days before the video did, because in my head I was like, the Deus Ex Machina video is going to go up.",0,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-52/ospod-episode-52_26.mp3
52_39,52,"You know, for, for as much as I will sass, that's George RR Martin's bread and butter, and he's really good at that. Uh, there's a reason why everyone agrees that the last two seasons of the show, when he stopped really having written the characters that far,",0,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-52/ospod-episode-52_39.mp3
52_41,52,"And then, uh, a lot of, like, dystopias and post-apocalyptic narratives are theme-driven storytelling, where, like, not a lot happens, and none of the characters are likable or relatable.",0,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-52/ospod-episode-52_41.mp3
52_44,52,"Oh, you know, uh, the, uh, the giant eagles don't actually count. They don't actually count as Deus Ex Machina, and it's like, well, okay, let's unpack this. If, if people think they do, why do they think that? Why do they feel that way, even if they aren't?",0,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-52/ospod-episode-52_44.mp3
52_52,52,"But if someone finds a 20 on the street, it's like, that's, that's unrealistic. It's like, how dare the story solve something that the character should have had to work for? I think there's an interesting comparison to be found in Dungeons and Dragons, because there are a lot of times when, you know, you're at the table and you're in some objectively kind of bullshitty situation.",0,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-52/ospod-episode-52_52.mp3
52_53,52,But you and the other players or the characters in the story manage to make it work because someone gets really lucky and rolls a nat 20.,0,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-52/ospod-episode-52_53.mp3
52_57,52,"author, when all the audience sees is whatever the author puts on the page, there's no understanding of what was happening behind, and then you can get things where it's like, oh, this bullshit, where it's like in D&D, it's like, that's, that's, the game is right there in those moments.",0,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-52/ospod-episode-52_57.mp3
52_64,52,"Yeah, and audience.",0,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-52/ospod-episode-52_64.mp3
52_65,52,"I can get him down with chip damage. No, none of that shit. Thank you.",1,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-52/ospod-episode-52_65.mp3
52_71,52,"Yeah, definitely. There are some tropes that get, that get icky on principle and this is, is not one of them.",0,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-52/ospod-episode-52_71.mp3
52_74,52,"And it's not just like, oh, I'm lazy, I'm gonna write that these characters get out of here and it's no big deal. It's like, you know.",1,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-52/ospod-episode-52_74.mp3
52_92,52,and more focused or zoomed way out and consolidated. So I originally made a four-part series on Venice that was bad.,0,/Users/minjoolee/Downloads/MUStARD/PodSarc/all_processed/overly-sarcastic-podcast__ospod-episode-52/ospod-episode-52_92.mp3
